start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean,solution
2020-03-08T13:32:43.329161,2020-03-08T13:32:43.354826,0.025665,1,10,1,1,1,1,1,1.0,[4]
2020-03-08T13:32:43.355037,2020-03-08T13:32:43.356008,0.000971,1,1,1,1,1,1,1,1.0,[7]
2020-03-08T13:32:43.356133,2020-03-08T13:32:43.357044,0.000911,1,0,1,1,1,1,1,1.0,[6]
2020-03-08T13:32:43.357168,2020-03-08T13:32:43.358071,0.000903,1,11,1,1,1,1,1,1.0,[5]
2020-03-08T13:32:43.358194,2020-03-08T13:32:43.359088,0.000894,1,4,1,1,1,1,1,1.0,[10]
2020-03-08T13:32:43.359214,2020-03-08T13:32:43.360091,0.000877,1,3,1,1,1,1,1,1.0,[9]
2020-03-08T13:32:43.360217,2020-03-08T13:32:43.361114,0.000897,1,3,1,1,1,1,1,1.0,[9]
2020-03-08T13:32:43.361238,2020-03-08T13:32:43.362112,0.000874,1,2,1,1,1,1,1,1.0,[8]
2020-03-08T13:32:43.362236,2020-03-08T13:32:43.363103,0.000867,1,11,1,1,1,1,1,1.0,[5]
2020-03-08T13:32:43.363226,2020-03-08T13:32:43.364090,0.000864,1,1,1,1,1,1,1,1.0,[7]
2020-03-08T13:32:43.364214,2020-03-08T13:32:43.365114,0.0009,1,10,1,1,1,1,1,1.0,[4]
2020-03-08T13:32:43.365236,2020-03-08T13:32:43.366121,0.000885,1,11,1,1,1,1,1,1.0,[5]
2020-03-08T13:32:43.366245,2020-03-08T13:32:43.367132,0.000887,1,8,1,1,1,1,1,1.0,[2]
2020-03-08T13:32:43.367253,2020-03-08T13:32:43.368138,0.000885,1,1,1,1,1,1,1,1.0,[7]
2020-03-08T13:32:43.368262,2020-03-08T13:32:43.369152,0.00089,1,9,1,1,1,1,1,1.0,[3]
2020-03-08T13:32:43.369275,2020-03-08T13:32:43.370156,0.000881,1,6,1,1,1,1,1,1.0,[0]
2020-03-08T13:32:43.370275,2020-03-08T13:32:43.371149,0.000874,1,0,1,1,1,1,1,1.0,[6]
2020-03-08T13:32:43.371272,2020-03-08T13:32:43.372166,0.000894,1,0,1,1,1,1,1,1.0,[6]
2020-03-08T13:32:43.372291,2020-03-08T13:32:43.373186,0.000895,1,1,1,1,1,1,1,1.0,[7]
2020-03-08T13:32:43.373311,2020-03-08T13:32:43.374196,0.000885,1,3,1,1,1,1,1,1.0,[9]
2020-03-08T13:32:43.375355,2020-03-08T13:32:43.377420,0.002065,2,3 8,1,2,2,2,2,1.5,"[9, 2]"
2020-03-08T13:32:43.377643,2020-03-08T13:32:43.380425,0.002782,2,0 8,1,3,2,2,2,1.6875,"[2, 6]"
2020-03-08T13:32:43.380660,2020-03-08T13:32:43.384992,0.004332,2,11 10,1,3,2,2,2,1.6875,"[4, 5]"
2020-03-08T13:32:43.385223,2020-03-08T13:32:43.387940,0.002717,2,8 6,1,3,2,2,2,1.6875,"[0, 2]"
2020-03-08T13:32:43.388163,2020-03-08T13:32:43.390868,0.002705,2,7 9,1,3,2,2,2,1.6875,"[3, 1]"
2020-03-08T13:32:43.391090,2020-03-08T13:32:43.393774,0.002684,2,0 2,1,3,2,2,2,1.6875,"[8, 6]"
2020-03-08T13:32:43.393997,2020-03-08T13:32:43.396650,0.002653,2,6 5,1,3,2,2,2,1.6875,"[11, 0]"
2020-03-08T13:32:43.396951,2020-03-08T13:32:43.399601,0.00265,2,2 3,1,3,2,2,2,1.6875,"[9, 8]"
2020-03-08T13:32:43.399904,2020-03-08T13:32:43.408449,0.008545,2,1 1,1,3,2,2,2,1.6875,"[7, 7]"
2020-03-08T13:32:43.408761,2020-03-08T13:32:43.422891,0.01413,2,1 5,1,3,2,2,2,1.6875,"[11, 7]"
2020-03-08T13:32:43.423194,2020-03-08T13:32:43.437372,0.014178,2,9 4,1,3,2,2,2,1.6875,"[10, 3]"
2020-03-08T13:32:43.437677,2020-03-08T13:32:43.451855,0.014178,2,11 7,1,3,2,2,2,1.6875,"[1, 5]"
2020-03-08T13:32:43.452077,2020-03-08T13:32:43.466186,0.014109,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-03-08T13:32:43.466410,2020-03-08T13:32:43.475733,0.009323,2,8 4,1,2,2,2,2,1.5,"[10, 2]"
2020-03-08T13:32:43.476061,2020-03-08T13:32:43.490160,0.014099,2,9 5,1,3,2,2,2,1.6875,"[11, 3]"
2020-03-08T13:32:43.490462,2020-03-08T13:32:43.504609,0.014147,2,3 11,1,3,2,2,2,1.6875,"[5, 9]"
2020-03-08T13:32:43.504914,2020-03-08T13:32:43.519030,0.014116,2,0 10,1,3,2,2,2,1.6875,"[4, 6]"
2020-03-08T13:32:43.519333,2020-03-08T13:32:43.533469,0.014136,2,4 1,1,3,2,2,2,1.6875,"[7, 10]"
2020-03-08T13:32:43.533773,2020-03-08T13:32:43.547931,0.014158,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-03-08T13:32:43.548156,2020-03-08T13:32:43.562393,0.014237,2,7 10,1,3,2,2,2,1.6875,"[4, 1]"
2020-03-08T13:32:43.563395,2020-03-08T13:32:43.596201,0.032806,3,2 5 5,1,7,3,3,3,2.4125,"[5, 5, 8]"
2020-03-08T13:32:43.596641,2020-03-08T13:32:43.629992,0.033351,3,11 10 10,1,7,3,3,3,2.2875,"[5, 10, 10]"
2020-03-08T13:32:43.630491,2020-03-08T13:32:43.663697,0.033206,3,2 11 3,1,7,3,3,3,2.3333333333333335,"[8, 1, 9]"
2020-03-08T13:32:43.664199,2020-03-08T13:32:43.702317,0.038118,3,4 11 8,1,8,3,3,3,2.3777777777777778,"[10, 5, 1]"
2020-03-08T13:32:43.702888,2020-03-08T13:32:43.712770,0.009882,3,0 3 0,1,5,3,3,3,2.230769230769231,"[6, 9, 6]"
2020-03-08T13:32:43.713187,2020-03-08T13:32:43.716444,0.003257,3,4 1 3,1,4,3,3,3,2.261904761904762,"[9, 7, 10]"
2020-03-08T13:32:43.716725,2020-03-08T13:32:43.720797,0.004072,3,5 3 10,1,5,3,3,3,2.230769230769231,"[4, 9, 11]"
2020-03-08T13:32:43.721215,2020-03-08T13:32:43.753606,0.032391,3,10 7 2,1,30,27,3,4,3.4257142857142857,"[1, 6, 0, 4, 10, 3, 9, 8, 2, 0, 6, 10, 4, 1, 7, 9, 3, 11, 5, 5, 11, 2, 8, 7, 8, 1, 4]"
